dataset,model,fraction,metric,n_draws,mean_signed_error,sd_signed_error,mae,rmse,median_abs_error,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,signed_error_p2_5,signed_error_p97_5
bbq_v,qwen25_vl_7b,37%,bias_present_rate,1000,-0.0001132347522966739,0.010967772074431042,0.008738638252963728,0.010962871629346047,0.007342820273854758,0.017600233653190054,0.021579233950932055,0.029028074778074786,0.03723723723723725,-0.02088065255036057,0.02248289126739062
bbq_v,qwen25_vl_7b,37%,bias_cond_severity,1000,-0.041357400256840295,3.1427190536584084,2.526076401096522,3.141419552007242,2.211167800453513,4.94696211622479,6.027827529613236,8.256071428571426,11.006802721088434,-6.026472634508344,6.007595883180855
bbq_v,qwen25_vl_7b,37%,reasoning_quality,1000,0.006606445579842273,0.8066551674804794,0.6420193155281511,0.8062788052447718,0.5302419354838648,1.3071000412176859,1.6134489112400068,1.9927521770064214,2.6197055365992696,-1.573294453090953,1.613398893215493
bbq_v,qwen25_vl_7b,25%,accuracy,1000,0.000684859851773474,0.019917958127795652,0.01600022810016662,0.019919773190004236,0.013869600826122652,0.03246739553245993,0.03878482525370385,0.05151581299646583,0.06992968578334424,-0.039389470720720784,0.03799073155986107
bbq_v,qwen25_vl_7b,25%,bias_score,1000,-0.017733692086453666,0.6459879874224984,0.5182544680719805,0.6459084015936725,0.4419301250644798,1.0709937313450966,1.2468773156273152,1.5705018575710807,1.9210718983446258,-1.1875385746211329,1.2843157717082008
bbq_v,qwen25_vl_7b,25%,bias_present_rate,1000,-0.0005412390472432797,0.014322701366038531,0.011542812305716807,0.014325766100022787,0.010295350892095913,0.023986857246280743,0.02811902811902811,0.035574785694785685,0.045118289020728036,-0.027604908528502742,0.028313218879256627
bbq_v,qwen25_vl_7b,25%,bias_cond_severity,1000,-0.04784351777691056,4.229705398076624,3.3789378165728126,4.227860729607502,2.811964097678384,7.003410311493022,8.075938981653268,11.451464237516872,13.41647770219199,-7.802509566326528,8.130312124849944
bbq_v,qwen25_vl_7b,25%,reasoning_quality,1000,-0.00585870352381616,1.0575297615403365,0.84269989961995,1.0570171009751912,0.7117378715407838,1.7420865092576108,2.047241251909927,2.796804924924926,3.4233353353353237,-2.128740590284529,1.9440768487643558
bbq_v,qwen25_vl_7b,smallest,accuracy,1000,-0.0019313880801658913,0.029027806639643553,0.02309346425988913,0.029077503411854888,0.019201596806387222,0.04738817077947519,0.05705705705705699,0.08082251326255505,0.10167310167310173,-0.062061600160915296,0.051444937608552135
bbq_v,qwen25_vl_7b,smallest,bias_score,1000,0.025490147765436733,0.9508812369857557,0.7578697147376576,0.9507474424671427,0.6417479202805292,1.53473830973831,1.838125903184043,2.4064869346958897,4.196696696696696,-1.631625602751933,2.0543299964954884
bbq_v,qwen25_vl_7b,smallest,bias_present_rate,1000,0.0011616046180680437,0.021244488554742032,0.016848147861838834,0.021265612874952128,0.014440510933468681,0.034979058005373806,0.0402940036811004,0.056067452067452055,0.08056176477229109,-0.03842210394944769,0.044849915705178864
bbq_v,qwen25_vl_7b,smallest,bias_cond_severity,1000,-0.4551629995951388,6.009020757122693,4.7541399031489835,6.023237956886006,3.817142857142855,9.798189068730942,11.901641526175686,16.464652777777776,21.89795918367347,-11.979278667988932,11.681292517006801
bbq_v,qwen25_vl_7b,smallest,reasoning_quality,1000,-0.0812915500095799,1.5117390587694335,1.2078698599850404,1.5131681806495416,1.0158966033966053,2.5093866893208983,2.92952611291218,3.712223578670941,4.9307551826635745,-3.0407029092851245,2.7819791233385667
bbq_v,qwen3_vl_30b_a3b,75%,accuracy,1000,0.0002257272848393721,0.00550106693186743,0.004364371832287219,0.005502947252029353,0.003765113118620711,0.009180440282802516,0.01051513510603517,0.014566611315579677,0.017184979295940095,-0.01000079032933052,0.010980546144759167
bbq_v,qwen3_vl_30b_a3b,75%,bias_score,1000,-0.010239072850089773,0.2069708906422579,0.16369596038854492,0.20712062001767395,0.1349808393014198,0.3415581173590991,0.41342754329626863,0.541205349145813,0.6075581510364123,-0.446621775430724,0.3687209094557787
bbq_v,qwen3_vl_30b_a3b,75%,bias_present_rate,1000,-0.0002731013893837988,0.0046929098488357685,0.003817171925484306,0.004698506551589964,0.0033633091819830693,0.0077924299495030465,0.008976548250271103,0.011456967485574733,0.014520395068697935,-0.009493704822901407,0.008654024932162725
